Agency,Fire_Name,Hectares__Ha_,Latitude,Longitude,ObjectId,Stage_of_Control,Start_Date,Time_Zone,latitude,longitude,response_type
BC,2025_BC_2025-C22340,7.5,51.606,-122.2334,1345,UC,1773821580000,,51.606,-122.2334,FUL
BC,2025_BC_2025-C22373,0.009,51.935,-122.9544,1348,UC,1774976400000,,51.935,-122.9544,FUL
BC,2025_BC_2025-V32337,0.1,50.5273,-122.4817,1355,UC,1773657180000,,50.5273,-122.4817,MON
BC,2025_BC_2025-C22352,28,51.335,-122.314,1358,UC,1774277220000,,51.335,-122.314,MOD
YT,2026_YT_2026HJ001,1,61.4327,-137.0263,1361,BH,1775771640000,,61.4327,-137.0263,MON
BC,2026_BC_2026-V10108,64,49.764,-121.4316,1494,UC,1776946620000,,49.764,-121.4316,MON
BC,2026_BC_2026-G90285,1.44,58.3549,-123.9409,1741,UC,1778233080000,,58.3549,-123.9409,FUL
PC,2026_PC_2026WB3,2.2,60.3469,-113.1578,1994,BH,1779408420000,,60.3469,-113.1578,FUL
PC,2026_PC_2026WB4,51780,60.354,-113.1068,1996,BH,1779408960000,,60.354,-113.1068,FUL
BC,2026_BC_2026-G90400,0.2,59.506,-120.225,1999,BH,1779383580000,,59.506,-120.225,FUL
QC,2020_QC_165,0.8,45.9136,-75.7269,2113,UC,1590532320000,,45.9136,-75.7269,FUL
PC,2026_PC_2026WB6,659,59.4312,-113.3894,2124,OC,1779994080000,,59.4312,-113.3894,MOD
PC,2026_PC_2026WB7,42,59.2882,-113.6355,2141,OC,1780011780000,,59.2882,-113.6355,MOD
PC,2026_PC_2026WB8,1357,58.9658,-112.8549,2205,BH,1780170540000,,58.9658,-112.8549,MOD
PC,2026_PC_2026WB9,760,60.5578,-113.0924,2236,BH,1780162680000,,60.5578,-113.0924,MOD
ON,2026_ON_TIM_FIRE_009,3151,47.7841,-81.7268,2240,UC,1780259580000,,47.7841,-81.7268,FUL
ON,2026_ON_DRY_FIRE_013,14333,50.242,-89.8954,2245,UC,1780259640000,,50.242,-89.8954,MOD
MB,2026_MB_MB-WE021,7945.3,55.3797,-100.4022,2270,OC,1780290000000,,55.3797,-100.4022,MOD
BC,2026_BC_2026-C10467,1815,53.3526,-124.1463,2290,UC,1780326420000,,53.3526,-124.1463,FUL
MB,2026_MB_MB-NO012,500,58.7008,-97.1925,2295,OC,1780290000000,,58.7008,-97.1925,MON
MB,2026_MB_MB-NO013,500,58.6247,-97.0297,2296,OC,1780290000000,,58.6247,-97.0297,MON
MB,2026_MB_MB-NO014,1800,53.3294,-94.6175,2297,OC,1780290000000,,53.3294,-94.6175,MON
MB,2026_MB_MB-NO015,360,53.1803,-95.565,2298,OC,1780290000000,,53.1803,-95.565,MON
MB,2026_MB_MB-NO009,100,57.9569,-100.0939,2300,OC,1780290000000,,57.9569,-100.0939,MON
MB,2026_MB_MB-NO016,900,53.8917,-96.0531,2304,OC,1780290000000,,53.8917,-96.0531,MON
NT,2026_NT_SS001-26,5,61.3699,-117.5968,2306,UC,1778385600000,,61.3699,-117.5968,FUL
MB,2026_MB_MB-WE027,275.3,55.2836,-101.9058,2321,OC,1780376400000,,55.2836,-101.9058,MON
